_vid_,inferred_val,inferred_val_idx,prob
0,2016-07-22t18:28:16-04:00,115,0.06034605950117111
1,female,0,0.9784502387046814
3,3,2,0.3406814634799957
4,['jd'],0,0.500028133392334
5,mr.,0,0.6602014303207397
6,2016-07-22t18:28:16-04:00,115,0.060303691774606705
7,male,0,0.984491765499115
9,1,0,0.3333333432674408
10,['jd'],0,0.5000176429748535
11,mr.,0,0.7442909479141235
12,2016-07-22t18:28:16-04:00,115,0.06037386134266853
13,female,0,0.9830251932144165
15,1,0,0.3333333432674408
16,['jd'],0,0.500028133392334
17,mr.,0,0.7873990535736084
18,2016-07-22t18:28:16-04:00,115,0.06037365272641182
19,male,0,0.984491765499115
21,1,0,0.3333333432674408
22,['jd'],0,0.5000176429748535
23,mr.,0,0.7442909479141235
24,2016-07-22t18:28:16-04:00,115,0.060373395681381226
25,male,0,0.9844887256622314
26,m,0,0.5677874088287354
27,1,0,0.3333333432674408
28,['jd'],0,0.5000176429748535
29,ms.,2,0.5604718327522278
31,male,1,0.9784848093986511
33,1,0,0.3333333432674408
34,['jd'],0,0.5000176429748535
35,mr.,0,0.733096718788147
36,2016-07-22t18:28:16-04:00,115,0.060346052050590515
37,female,0,0.9814972877502441
39,1,0,0.3333333432674408
41,mr.,0,0.7115397453308105
42,2016-07-22t18:28:16-04:00,115,0.060248106718063354
43,female,0,0.9808269739151001
45,1,0,0.3333333432674408
46,['jd'],0,0.5000414848327637
47,ms.,1,0.9827448725700378
48,2016-07-22t18:28:16-04:00,115,0.06037350744009018
49,male,0,0.9844934940338135
50,s,1,0.9380562901496887
51,1,0,0.3333333432674408
52,['jd'],0,0.5000176429748535
53,mr.,0,0.5944799780845642
54,2016-07-22t18:28:16-04:00,115,0.060226961970329285
55,male,1,0.9757900238037109
57,1,0,0.33382105827331543
58,['jd'],0,0.5000176429748535
59,mr.,0,0.6810274124145508
60,2016-07-22t18:28:16-04:00,115,0.06024061515927315
61,male,1,0.9799349904060364
63,1,0,0.3333333432674408
64,['jd'],0,0.5000176429748535
65,mr.,0,0.6173373460769653
66,2016-07-22t18:28:16-04:00,115,0.060342106968164444
67,male,1,0.976942777633667
69,2,1,0.33359602093696594
70,['jd'],0,0.5000176429748535
71,mr.,0,0.6903935670852661
72,2016-07-22t18:28:16-04:00,115,0.060240574181079865
73,female,0,0.9799897074699402
74,m,0,0.5707591772079468
75,1,0,0.3333333432674408
76,['jd'],0,0.500028133392334
77,ms.,2,0.5039113759994507
78,2016-07-22t18:28:16-04:00,115,0.06025385484099388
79,female,0,0.9796984195709229
81,1,0,0.3333333432674408
82,['jd'],0,0.5000414848327637
83,ms.,1,0.9765661954879761
84,2016-07-22t18:28:16-04:00,115,0.060372792184352875
85,female,0,0.9850231409072876
87,1,0,0.3333333432674408
88,['jd'],0,0.5000414848327637
89,ms.,1,0.9754143357276917
90,2016-07-22t18:28:16-04:00,115,0.06031791865825653
91,male,1,0.9647803902626038
92,s,1,0.9642682075500488
93,2,1,0.34257420897483826
94,['jd'],0,0.5000176429748535
95,mr.,0,0.547366738319397
96,2016-07-22t18:28:16-04:00,115,0.06027670577168465
97,male,1,0.9657333493232727
98,s,1,0.9739974141120911
99,1,0,0.3333333432674408
100,['jd'],0,0.5000176429748535
101,mr.,0,0.5621178150177002
102,2016-07-22t18:28:16-04:00,115,0.060706086456775665
103,female,0,0.9825652837753296
105,2,1,0.33348169922828674
106,['jd'],0,0.5000414848327637
107,ms.,1,0.9801244735717773
108,2016-07-22t18:28:16-04:00,115,0.060372792184352875
109,female,0,0.977963924407959
111,1,0,0.3333333432674408
112,['jd'],0,0.5000414848327637
113,ms.,1,0.9722212553024292
114,2016-07-22t18:28:16-04:00,115,0.060372792184352875
115,female,0,0.9850231409072876
117,1,0,0.3333333432674408
118,['jd'],0,0.5000414848327637
119,ms.,1,0.9459347724914551
121,female,0,0.981381893157959
123,1,0,0.3333333432674408
124,['jd'],0,0.5000414848327637
125,ms.,1,0.9532415866851807
126,2016-07-22t18:28:16-04:00,115,0.05994214117527008
127,male,1,0.9818969964981079
129,1,0,0.3333333432674408
130,['jd'],0,0.5000176429748535
131,mr.,0,0.7442909479141235
133,male,1,0.9826662540435791
135,1,0,0.3333333432674408
136,['jd'],0,0.5000176429748535
137,mr.,0,0.6382537484169006
138,2016-07-22t18:28:16-04:00,115,0.060373611748218536
139,female,0,0.9772498607635498
140,m,0,0.5727076530456543
141,1,0,0.3333333432674408
142,['jd'],0,0.500028133392334
143,ms.,2,0.4946192502975464
144,2016-07-22t18:28:16-04:00,115,0.060255832970142365
145,male,1,0.9782226085662842
146,s,1,0.9521514773368835
147,1,0,0.3333333432674408
148,['jd'],0,0.5000176429748535
149,mr.,0,0.5353128910064697
150,2016-07-22t18:28:16-04:00,115,0.060373611748218536
151,female,0,0.9834142327308655
152,1,0,0.3333333432674408
153,['jd'],0,0.500028133392334
154,ms.,2,0.5072994828224182
155,2016-07-22t18:28:16-04:00,115,0.06037365272641182
156,male,1,0.9723663330078125
158,1,0,0.3333333432674408
159,['jd'],0,0.5000176429748535
160,mr.,0,0.7442909479141235
161,2016-07-22t18:28:16-04:00,115,0.0602489598095417
162,male,1,0.9683959484100342
164,1,0,0.3333333432674408
165,['jd'],0,0.5000176429748535
166,mr.,0,0.6374633312225342
167,2016-07-22t18:28:16-04:00,115,0.060373395681381226
168,male,0,0.9844887256622314
169,1,0,0.3333333432674408
170,['jd'],0,0.5000176429748535
172,female,0,0.9854211211204529
174,1,0,0.3333333432674408
175,['jd'],0,0.500028133392334
176,mr.,0,0.7775275707244873
177,2016-07-22t18:28:16-04:00,115,0.060327738523483276
178,female,0,0.9830251932144165
180,1,0,0.3333333432674408
181,['jd'],0,0.500028133392334
182,mr.,0,0.7555704116821289
183,2016-07-22t18:28:16-04:00,115,0.060373395681381226
184,male,0,0.9829736948013306
185,m,0,0.5943814516067505
186,1,0,0.3333333432674408
187,['jd'],0,0.5000176429748535
188,ms.,2,0.59718918800354
189,2016-07-22t18:28:16-04:00,115,0.06037386134266853
190,female,0,0.9802056550979614
192,1,0,0.3333333432674408
193,['jd'],0,0.500028133392334
194,mr.,0,0.7040627598762512
195,2016-07-22t18:28:16-04:00,115,0.060214027762413025
196,female,0,0.9732147455215454
198,1,0,0.3333333432674408
199,['jd'],0,0.500028133392334
200,mr.,0,0.7873990535736084
202,female,0,0.9854196906089783
203,m,0,0.5706315040588379
204,1,0,0.3333333432674408
205,['jd'],0,0.500028133392334
206,ms.,2,0.5056514739990234
207,2016-07-22t18:28:16-04:00,115,0.06033865362405777
208,male,0,0.9821659922599792
210,1,0,0.3333333432674408
211,['jd'],0,0.5000176429748535
212,mr.,0,0.6303143501281738
213,2016-07-22t18:28:16-04:00,115,0.06031475588679314
214,male,1,0.974212646484375
216,1,0,0.3333333432674408
217,['jd'],0,0.5000176429748535
218,mr.,0,0.5756471753120422
220,male,1,0.981513500213623
222,1,0,0.3333333432674408
223,['jd'],0,0.5000176429748535
224,mr.,0,0.6070076823234558
225,2016-07-22t18:28:16-04:00,115,0.06016838550567627
226,female,0,0.9845356345176697
228,1,0,0.3333333432674408
229,['jd'],0,0.500028133392334
230,mr.,0,0.7132155299186707
231,2016-07-22t18:28:16-04:00,115,0.06031475588679314
232,male,1,0.9708611369132996
234,1,0,0.3333333432674408
235,['jd'],0,0.5000176429748535
236,mr.,0,0.724885106086731
237,2016-07-22t18:28:16-04:00,115,0.060706380754709244
238,male,1,0.9792286157608032
240,2,1,0.33348169922828674
241,['jd'],0,0.5000176429748535
242,ms.,1,0.5630668997764587
243,2016-07-22t18:28:16-04:00,115,0.060707058757543564
244,male,0,0.9823810458183289
246,2,1,0.33348169922828674
247,['jd'],0,0.5000176429748535
248,mr.,0,0.7083985805511475
249,2016-07-22t18:28:16-04:00,115,0.06037365272641182
250,male,0,0.984491765499115
252,1,0,0.3333333432674408
253,['jd'],0,0.5000176429748535
254,mr.,0,0.7442909479141235
255,2016-07-22t18:28:16-04:00,115,0.060168035328388214
256,male,1,0.9799371361732483
257,s,1,0.9497067928314209
258,1,0,0.3333333432674408
259,['jd'],0,0.5000176429748535
260,mr.,0,0.5944799780845642
261,2016-07-22t18:28:16-04:00,115,0.06037365272641182
262,male,0,0.984491765499115
264,1,0,0.3333333432674408
265,['jd'],0,0.5000176429748535
266,mr.,0,0.7442909479141235
267,2016-07-22t18:28:16-04:00,115,0.06034655123949051
268,female,0,0.9792348146438599
270,1,0,0.3333333432674408
271,['jd'],0,0.500028133392334
272,mr.,0,0.7465224862098694
273,2016-07-22t18:28:16-04:00,115,0.06029363349080086
274,male,1,0.9731394648551941
276,1,0,0.3333333432674408
277,['jd'],0,0.5000176429748535
278,mr.,0,0.690590500831604
279,2016-07-22t18:28:16-04:00,115,0.060216594487428665
280,female,0,0.9781981706619263
282,3,2,0.3415837287902832
283,['jd'],0,0.5000414848327637
284,ms.,1,0.9664514064788818
285,2016-07-22t18:28:16-04:00,115,0.06016838550567627
286,female,0,0.9802056550979614
288,1,0,0.3333333432674408
289,['jd'],0,0.500028133392334
290,mr.,0,0.7040627598762512
291,2016-07-22t18:28:16-04:00,115,0.060706909745931625
292,female,0,0.981997549533844
293,2,1,0.33348169922828674
294,['jd'],0,0.500028133392334
295,2016-07-22t18:28:16-04:00,115,0.060297343879938126
296,male,1,0.9818935394287109
297,m,0,0.5666664838790894
298,1,0,0.3333333432674408
299,['jd'],0,0.5000176429748535
300,ms.,2,0.554674506187439
302,female,0,0.9699022769927979
304,2,1,0.33348169922828674
305,['jd'],0,0.500028133392334
306,mr.,0,0.6918365955352783
307,2016-07-22t18:28:16-04:00,115,0.060373395681381226
308,male,1,0.9817118644714355
309,m,0,0.5636499524116516
310,1,0,0.3333333432674408
311,['jd'],0,0.5000176429748535
312,ms.,2,0.5709359049797058
313,2016-07-22t18:28:16-04:00,115,0.06062626466155052
314,male,1,0.9755361676216125
315,m,0,0.5766147375106812
316,2,1,0.33348169922828674
317,['jd'],0,0.5000176429748535
318,ms.,2,0.5702033042907715
319,2016-07-22t18:28:16-04:00,115,0.06037365272641182
320,male,0,0.984491765499115
322,1,0,0.3333333432674408
323,['jd'],0,0.5000176429748535
324,mr.,0,0.7442909479141235
325,2016-07-22t18:28:16-04:00,115,0.06029363349080086
326,male,1,0.9766144156455994
328,1,0,0.3333333432674408
329,['jd'],0,0.5000176429748535
330,mr.,0,0.7442909479141235
331,2016-07-22t18:28:16-04:00,115,0.06029780954122543
332,female,0,0.975191056728363
334,1,0,0.3333333432674408
335,['jd'],0,0.500028133392334
336,mr.,0,0.6947635412216187
337,2016-07-22t18:28:16-04:00,115,0.060373611748218536
338,female,0,0.9845342636108398
339,1,0,0.3333333432674408
340,['jd'],0,0.500028133392334
341,2016-07-22t18:28:16-04:00,115,0.06011560931801796
342,female,0,0.974953830242157
344,1,0,0.3333333432674408
345,['jd'],0,0.5000414848327637
346,ms.,1,0.9459347724914551
347,2016-07-22t18:28:16-04:00,115,0.06029384210705757
348,female,0,0.976428747177124
350,1,0,0.3333333432674408
351,['jd'],0,0.500028133392334
352,mr.,0,0.7643293142318726
354,female,0,0.9735162258148193
356,1,0,0.3333333432674408
357,['jd'],0,0.500028133392334
358,mr.,0,0.6426743268966675
359,2016-07-22t18:28:16-04:00,115,0.06031806394457817
360,male,1,0.9783892631530762
